İlçe,2015,2016,2017,2018,2019
Kadikoy,289799975,334484790,381418733,407184428,382648400
Esenyurt,286305791,270714840,310456446,306478633,270391774
Pendik,259782434,265760154,293350294,291409388,260462353
Kucukcekmece,258612726,257019311,291513204,281520286,256603576
Umraniye,243420288,236508313,283845936,271213413,237214965
Uskudar,228472669,228845546,254094119,239474552,210159134
Bahcelievler,208697683,209962616,225841484,225819835,200595190
Bagcilar,194262149,205157465,220599107,215813578,194966321
Sariyer,184647704,197803870,220129541,213166985,185898510
Bakirkoy,184401673,190011929,209936316,205345705,180569905
Maltepe,176766357,188495814,201323285,191692282,171969204
Sisli,167969376,182252261,194602820,191040594,159299768
Fatih,162720938,168736928,185972097,178409035,159026591
Besiktas,161216776,168596650,184470659,177387328,155364950
Atasehir,159630807,164076552,178299259,170986901,153142032
Kartal,156843638,161534220,174104635,169196566,151409023
Eyupsultan,147666232,157405457,170957302,168414241,150300969
Kagithane,143312861,149568452,164063206,167354320,148495227
Avcilar,141786263,149031802,162821861,167059916,148014282
Tuzla,140012852,147470066,162114990,165662751,144262968
Gaziosmanpasa,138093981,145372154,161366227,163286603,144172449
Beylikduzu,136126573,144892297,160544294,156474188,143240045
Sultangazi,132592815,138148864,157550995,153311904,140808461
Basaksehir,130084587,136453813,150918411,150513823,136961550
Esenler,103263733,121821008,144136463,148777395,134219075
Beykoz,102541898,105524341,129963932,141640535,134096902
Sancaktepe,102425333,104520001,119049660,117166735,104208849
Buyukcekmece,96113299,98389483,117956439,113682773,103987842
Beyoglu,95011854,96538199,112371269,112666690,102610446
Zeytinburnu,94281917,94963207,109306226,111450139,99874216
Gungoren,93701304,94703078,105253542,110979155,97040463
Bayrampasa,85088193,91274155,104528889,103382996,91972708
Cekmekoy,85075343,89680701,103549129,101862437,91679656
Silivri,77452808,87102589,102060688,100280313,89135959
Sultanbeyli,66467663,80769796,96287921,94751881,83848593
Arnavutkoy,48954837,72039565,83696616,85885623,79525392
Sile,10531778,17189308,21134693,25354596,27434985
Adalar,2922987,8606303,20258565,20395845,17930376
Catalca,1073865,5617081,6657895,6321074,5845883
